TRINITY_DN37009_c0_g3_i1	sp|Q9BYN0|SRXN1_HUMAN	57.600	125	47	2	2822	2448	18	136	1.11e-39	147
TRINITY_DN37009_c0_g3_i3	sp|Q9BYN0|SRXN1_HUMAN	57.600	125	47	2	1720	1346	18	136	3.47e-40	147
TRINITY_DN37035_c0_g1_i1	sp|P21329|RTJK_DROFU	28.571	147	92	4	169	579	613	756	4.94e-08	55.8
TRINITY_DN37023_c0_g1_i1	sp|P07700|ADRB1_MELGA	33.333	99	65	1	47	340	59	157	6.59e-09	55.5
TRINITY_DN37023_c1_g1_i1	sp|P07700|ADRB1_MELGA	31.579	133	87	3	473	84	44	175	9.86e-12	66.6
TRINITY_DN45808_c0_g1_i1	sp|P52732|KIF11_HUMAN	57.143	49	21	0	85	231	374	422	2.25e-10	58.9
TRINITY_DN45839_c0_g1_i1	sp|Q6AX60|PTHB1_XENLA	38.889	90	47	3	15	275	425	509	3.79e-07	49.7
TRINITY_DN45781_c0_g1_i1	sp|Q8CIQ6|MTR1B_MOUSE	27.374	179	105	7	1	513	85	246	6.95e-07	51.6
TRINITY_DN45840_c0_g1_i1	sp|P07911|UROM_HUMAN	42.353	85	44	2	104	343	64	148	2.25e-13	69.3
TRINITY_DN48095_c0_g1_i1	sp|P0C0R5|PI3R4_RAT	54.054	37	13	1	102	4	1097	1133	4.19e-06	46.2
TRINITY_DN48106_c0_g1_i1	sp|Q2KJI7|AFG32_BOVIN	84.375	32	5	0	97	2	390	421	1.51e-11	62.8
TRINITY_DN48119_c0_g1_i1	sp|Q9C0G6|DYH6_HUMAN	57.576	66	28	0	204	7	2353	2418	8.45e-19	82.4
TRINITY_DN72948_c0_g1_i1	sp|P18320|PROF_HELCR	31.507	146	92	3	633	202	1	140	9.38e-14	70.1
TRINITY_DN72945_c0_g1_i1	sp|Q9Z0U4|GABR1_RAT	49.296	71	36	0	216	4	583	653	7.60e-17	76.6
TRINITY_DN72975_c0_g1_i1	sp|Q8HZ58|CCHCR_PONPY	38.312	154	78	5	466	53	201	353	3.23e-17	81.3
TRINITY_DN72934_c0_g1_i1	sp|Q4KLY6|DCR1B_RAT	52.679	112	53	0	337	2	101	212	1.40e-31	121
TRINITY_DN72903_c0_g1_i1	sp|P08594|AQL1_THEAQ	47.959	98	44	3	1	282	99	193	4.06e-21	89.4
TRINITY_DN72901_c0_g1_i1	sp|Q5XF89|AT133_MOUSE	38.393	112	66	2	330	4	120	231	8.12e-20	87.0
